bv1,bv2,bv3,severity,label
4719.362641381084,4604.0189160641585,4499.265114767185,0.4,1
4719.362641381084,4679.821813044522,4643.510318227886,0.9,1
4719.362641381084,4675.742892497003,4635.953997603252,1.0,1
6717.971972503785,6706.25468071134,6694.614403718663,0.05,0
6717.971972503785,6692.845912683314,6668.081251442154,0.1,0
6717.971972503785,6678.337594250925,6639.621000599274,0.15,0
6717.971972503785,6695.5413318496085,6673.99084686586,0.5,0
6717.971972503785,6689.376993908274,6662.188007526462,0.6,0
6717.971972503785,6683.074569454117,6650.242546117182,0.7,0
6717.971972503785,6676.935728701963,6638.710265137454,0.8,0
6717.971972503785,6662.71447008772,6609.212426990557,0.2,1
6717.971972503785,6645.979600857879,6576.97004500351,0.25,1
6717.971972503785,6628.158371431961,6542.976192158087,0.3,1
6717.971972503785,6704.028290938797,6690.438362660409,0.35,1
6717.971972503785,6589.492995154821,6470.400528836291,0.4,1
6717.971972503785,6671.286847864151,6628.196394587016,0.9,1
6717.971972503785,6666.4268723024,6619.227007500763,1.0,1
4523.25240298486,4513.1325844832445,4503.178862569133,0.05,0
4523.25240298486,4501.391776572639,4479.971049783366,0.1,0
4523.25240298486,4488.726315868442,4455.144452689454,0.15,0
4523.25240298486,4504.939948342528,4487.336390573768,0.5,0
4523.25240298486,4499.895363272945,4477.597494430192,0.6,0
4523.25240298486,4494.756084819204,4467.769848834782,0.7,0
4523.25240298486,4489.767674489766,4458.30345608354,0.8,0
4523.25240298486,4475.131992929466,4428.773416991714,0.2,1
4523.25240298486,4460.621334364229,4400.900389446462,0.25,1
4523.25240298486,4445.2267824517485,4371.641571498173,0.3,1
4523.25240298486,4511.914771966722,4500.9015504924555,0.35,1
4523.25240298486,4412.0327757868945,4309.651044745903,0.4,1
4523.25240298486,4485.192345190331,4449.718283974563,0.9,1
4523.25240298486,4481.267229315858,4442.405537416198,1.0,1
4895.183946030651,4883.788634154592,4872.478560011135,0.05,0
4895.183946030651,4870.760084811226,4846.718995086155,0.1,0
4895.183946030651,4856.708159006885,4819.170550700831,0.15,0
4895.183946030651,4873.476700661407,4852.530041719437,0.5,0
4895.183946030651,4867.571776412982,4841.169067365595,0.6,0
4895.183946030651,4861.5636328829505,4829.712345061954,0.7,0
4895.183946030651,4855.739340666343,4818.703664294508,0.8,0
4895.183946030651,4841.629046145567,4789.879070323699,0.2,1
4895.183946030651,4825.537663355689,4758.970464814376,0.25,1
4895.183946030651,4808.4711780845,4726.53829117418,0.3,1
4895.183946030651,4881.653048113712,4868.429510546335,0.35,1
4895.183946030651,4771.691936064004,4657.856877393133,0.4,1
4895.183946030651,4850.403920871965,4808.701893413899,0.9,1
4895.183946030651,4845.831813150108,4800.192542516518,1.0,1
4715.861795095568,4705.751381277476,4695.733496730638,0.05,0
4715.861795095568,4693.999094662454,4672.512636116333,0.1,0
4715.861795095568,4681.314578393465,4647.66397442209,0.15,0
